model,context_length,mode,num_devices,phase,phase_index,is_peak_phase,mean_occurrences_per_sample,peak_interval_label,mean_interval_peak_gb,max_interval_peak_gb,peak_allocated_before_gb,peak_allocated_after_gb,peak_transient_gb,peak_unattributed_gb,target_weight_gb,target_kv_gb,draft_weight_gb,draft_kv_gb,selected_hidden_gb,context_feature_gb
qwen3.5-9b,8192,dflash,1,decode: draft logits,8,False,26,decode: draft logits,21.3518,23.0917,23.0779,23.0848,0.0069,0.0229,16.6778,3.2969,2.4064,0.1879,0.0,0.5
qwen3.5-9b,8192,dflash,1,decode: target verify,9,False,26,decode: target verify,21.4057,23.0858,23.0848,20.1005,0.001,3.0082,16.6778,0.3047,2.4064,0.1879,0.001,0.5
qwen3.5-9b,8192,dflash,1,decode: verify rollback/crop,10,False,26,decode: verify rollback/crop,19.82,20.1005,20.1005,20.1005,0.0,0.0229,16.6778,0.3047,2.4064,0.1879,0.001,0.5
qwen3.5-9b,8192,dflash,1,decode: context-feature build,11,False,26,decode: context-feature build,19.8209,20.1015,20.1005,19.6015,0.001,0.5229,16.6778,0.3047,2.4064,0.1879,0.001,0.001
qwen3.5-9b,8192,baseline,1,prefill: target forward,0,True,1,target layer 30,24.0543,24.0543,19.0924,22.3897,1.6646,1.6733,16.6778,3.2969,2.4064,0.0,0.0,0.0
qwen3.5-9b,8192,baseline,1,prefill: first token,2,False,1,prefill: first token,22.3897,22.3897,22.3897,22.3897,0.0,0.0087,16.6778,3.2969,2.4064,0.0,0.0,0.0
qwen3.5-9b,8192,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,22.3897,22.3897,22.3897,22.3897,0.0,0.0087,16.6778,3.2969,2.4064,0.0,0.0,0.0
qwen3.5-9b,8192,baseline,1,decode: target verify,9,False,148.281,decode: target verify,19.7653,22.3899,22.3897,19.3916,0.0001,3.007,16.6778,0.2987,2.4064,0.0,0.0,0.0
qwen3.5-9b,8192,baseline,1,decode: verify rollback/crop,10,False,148.281,decode: verify rollback/crop,19.3938,19.4072,19.4072,19.4072,0.0,0.0087,16.6778,0.3143,2.4064,0.0,0.0,0.0
qwen3.5-9b,16384,dflash,1,prefill: target forward,0,True,1,target layer 30,29.8412,29.8412,19.0927,26.64,3.2012,3.2103,16.6778,6.5469,2.4064,0.0,1.0,0.0
qwen3.5-9b,16384,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,27.64,27.64,26.64,26.64,1.0,2.0091,16.6778,6.5469,2.4064,0.0,0.0,0.0
qwen3.5-9b,16384,dflash,1,prefill: first token,2,False,1,prefill: first token,26.64,26.64,26.64,26.64,0.0,1.0091,16.6778,6.5469,2.4064,0.0,0.0,0.0
qwen3.5-9b,16384,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,26.64,26.64,26.64,26.64,0.0,0.0091,16.6778,6.5469,2.4064,0.0,0.0,1.0
qwen3.5-9b,16384,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,26.64,26.64,26.64,26.64,0.0,0.0091,16.6778,6.5469,2.4064,0.0,0.0,1.0
qwen3.5-9b,16384,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,27.3998,27.3998,26.64,27.0157,0.3842,0.3935,16.6778,6.5469,2.4064,0.3754,0.0,1.0
qwen3.5-9b,16384,dflash,1,decode: draft forward,6,False,42.75,decode: draft forward,19.8965,20.056,20.0393,19.8051,0.0167,0.2741,16.6778,0.5547,2.4064,0.1412,0.001,0.001
qwen3.5-9b,16384,dflash,1,decode: draft rollback/crop,7,False,27.719,decode: draft rollback/crop,22.8859,27.0157,27.0157,27.0157,0.0,0.0093,16.6778,6.5469,2.4064,0.3754,0.0,1.0
qwen3.5-9b,16384,dflash,1,decode: draft logits,8,False,27.719,decode: draft logits,22.8997,27.0295,27.0157,27.0226,0.0069,0.0232,16.6778,6.5469,2.4064,0.3754,0.0,1.0
qwen3.5-9b,16384,dflash,1,decode: target verify,9,False,27.719,decode: target verify,23.0358,27.0238,27.0226,21.0383,0.0012,6.0086,16.6778,0.5547,2.4064,0.3754,0.001,1.0
qwen3.5-9b,16384,dflash,1,decode: verify rollback/crop,10,False,27.719,decode: verify rollback/crop,20.3344,21.0383,21.0383,21.0383,0.0,0.0232,16.6778,0.5547,2.4064,0.3754,0.001,1.0
